epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2203.02,1.11563,0.57567,1.03152,0.62732,0.61597,0.64535,0.43045,1.21144,0.54235,1.09712,0.000410409,0.000410409,0.000410409
74,2233.56,1.12706,0.57158,1.03486,0.61308,0.62565,0.6437,0.43155,1.20735,0.54367,1.09313,0.000396262,0.000396262,0.000396262
75,2263.96,1.12496,0.56936,1.03254,0.62717,0.60876,0.64493,0.43194,1.2069,0.54281,1.09635,0.000382115,0.000382115,0.000382115
76,2293.75,1.1137,0.56296,1.02827,0.622,0.6126,0.644,0.43136,1.21112,0.5405,1.0973,0.000367967,0.000367967,0.000367967
77,2324.19,1.11338,0.56989,1.03011,0.62179,0.62531,0.64449,0.43119,1.21023,0.54112,1.09903,0.00035382,0.00035382,0.00035382
78,2353.69,1.106,0.56562,1.02784,0.62208,0.62614,0.64411,0.43063,1.21097,0.54238,1.0988,0.000339673,0.000339673,0.000339673
79,2384.03,1.10778,0.5646,1.02571,0.62635,0.61753,0.64468,0.43184,1.21137,0.54188,1.09947,0.000325526,0.000325526,0.000325526
80,2414.17,1.11256,0.56086,1.02743,0.62605,0.60872,0.64317,0.42997,1.20853,0.54298,1.09943,0.000311379,0.000311379,0.000311379
81,2444.73,1.11044,0.56307,1.02554,0.62458,0.60972,0.64334,0.43044,1.20654,0.54349,1.09874,0.000297232,0.000297232,0.000297232
82,2474.2,1.10893,0.55787,1.02472,0.61858,0.62233,0.64373,0.43154,1.20741,0.54293,1.09902,0.000283085,0.000283085,0.000283085
83,2503.67,1.09604,0.5496,1.02254,0.61188,0.62828,0.64277,0.43016,1.21312,0.54744,1.10223,0.000268938,0.000268938,0.000268938
84,2534.31,1.09695,0.54539,1.02242,0.62536,0.61809,0.64317,0.43127,1.21265,0.54741,1.10221,0.000254791,0.000254791,0.000254791
85,2564.48,1.09161,0.5502,1.02773,0.6221,0.6162,0.64361,0.43126,1.21074,0.54615,1.09986,0.000240644,0.000240644,0.000240644
86,2594.52,1.10159,0.54944,1.02114,0.61536,0.62631,0.64281,0.43075,1.20959,0.54481,1.0991,0.000226497,0.000226497,0.000226497
87,2624.49,1.08968,0.54479,1.01796,0.62823,0.62068,0.64265,0.4306,1.21079,0.545,1.09959,0.000212349,0.000212349,0.000212349
88,2654.89,1.09252,0.54231,1.01962,0.60815,0.62836,0.64386,0.4312,1.20886,0.54214,1.09825,0.000198202,0.000198202,0.000198202
89,2684.65,1.08569,0.54308,1.01992,0.61779,0.62762,0.64375,0.43056,1.21241,0.5448,1.09976,0.000184055,0.000184055,0.000184055
90,2714.53,1.07897,0.5439,1.01718,0.6088,0.63895,0.64394,0.43105,1.21148,0.54334,1.10107,0.000169908,0.000169908,0.000169908
91,2840.09,1.07826,0.47683,1.02403,0.61216,0.63208,0.64333,0.43075,1.21049,0.54182,1.10008,0.000155761,0.000155761,0.000155761
92,2870.09,1.07165,0.47045,1.02323,0.6073,0.63046,0.64272,0.43075,1.20986,0.54247,1.10059,0.000141614,0.000141614,0.000141614
93,2899.76,1.06549,0.46411,1.01765,0.62954,0.61281,0.64271,0.43062,1.20894,0.54295,1.09915,0.000127467,0.000127467,0.000127467
94,2930.56,1.06227,0.45915,1.01797,0.60959,0.63298,0.64268,0.43178,1.2071,0.54316,1.09939,0.00011332,0.00011332,0.00011332
95,2959.59,1.06018,0.4611,1.01961,0.62205,0.62099,0.64245,0.43139,1.20724,0.54482,1.09894,9.91726e-05,9.91726e-05,9.91726e-05
96,2988.28,1.0592,0.46095,1.014,0.62382,0.61593,0.64253,0.4318,1.20747,0.54568,1.09959,8.50255e-05,8.50255e-05,8.50255e-05
97,3016.99,1.0526,0.45179,1.01206,0.62555,0.61742,0.64277,0.43173,1.20632,0.54627,1.09824,7.08784e-05,7.08784e-05,7.08784e-05
98,3047.16,1.05423,0.45624,1.01283,0.62948,0.61608,0.64273,0.43196,1.20664,0.54617,1.09932,5.67313e-05,5.67313e-05,5.67313e-05
99,3077.32,1.04848,0.45286,1.01121,0.62594,0.62061,0.64296,0.43191,1.20758,0.54712,1.09975,4.25842e-05,4.25842e-05,4.25842e-05
100,3107.32,1.04709,0.45114,1.0121,0.62957,0.61599,0.64263,0.43201,1.20737,0.54703,1.09981,2.84371e-05,2.84371e-05,2.84371e-05
